,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
295,Severe Thunderstorms,2009-02-11,,"Kentucky, Ohio",,,1
296,High Winds,2009-02-12,,Ohio,,,1
297,High Winds,2009-02-12,,Pennsylvania,,,1
298,High Winds,2009-02-13,,Ohio,,,1
299,Ice/Snow Storm,2009-02-23,,Maine,,,1
300,Severe Weather,2009-03-01,,Southern Balancing AreaDIRTY,,,1
301,Ice/Snow Storm,2009-03-01,,Duke Energy Carolinas Balance AuthorityDIRTY,,,1
302,Winter Storm,2009-03-01,,Virginia,,,1
303,Winter Storm,2009-04-06,,Michigan,,,1
304,Severe Thunderstorms,2009-04-10,,"Alabama, Georgia",,,
305,High Winds,2009-04-27,,Texas,"Houston, Galveston",,
306,Severe Thunderstorm,2009-05-08,,Missouri,,,1
307,Severe Thunderstorm,2009-05-08,,Illinois,,,1
308,Severe Thunderstorms,2009-06-09,,Maryland,,,1
309,Severe Storms,2009-06-10,,Texas,,,1
310,Severe Storm,2009-06-12,,Tennessee,Chattanooga,,
311,Severe Thunderstorms,2009-06-12,,"Arkansas, Mississippi",,,
312,Severe Thunderstorm,2009-06-12,,Georgia,,,
313,Severe Storm,2009-06-19,,Michigan,,,1
314,Severe Storm,2009-06-19,,The Entire ComEd Service TerritoryDIRTY,,,1
315,Severe Thunderstorms,2009-06-26,,"Indiana, Ohio",,,1
316,Severe Thunderstorms,2009-06-26,,Connecticut,,,1
317,Thunderstorms,2009-07-18,,Texas,"Houston, Galveston",,
318,Severe Thunderstorm,2009-07-20,,Colorado,Denver,"Jefferson, Adams, Arapahoe",1
319,Highwinds,2009-08-02,,PennsyvaniaDIRTY,,"Chester, Montgomery, Delaware, Philadelphia, Bucks ",
320,Thunderstorms,2009-08-04,,"Kentucky, Indiana, Ohio",,,1
321,Severe Thunderstorms,2009-08-09,,Michigan,,,1
322,Thunderstorms,2009-08-12,,Texas,Houston,,
323,Thunderstorms,2009-08-21,,Texas,Houston,,
324,Severe Storms,2009-10-07,,Michigan,,,1
325,Winter Storm,2009-10-09,,"Arkansas, Louisiana",,,1
326,Ice,2009-10-13,,Wyoming,,,1
327,High Winds,2009-10-13,,California,,Sacramento County,
328,Severe Weather,2009-12-08,,Arizona,,,
329,Severe Weather,2009-12-09,,Ohio,,,
330,Severe Weather,2009-12-10,,Michigan,,,
331,Severe Weather,2009-12-18,,"Kentucky, West Virginia, Ohio, Virginia",,,
332,Severe Weather,2009-12-18,,North Carolina,,,1
333,Severe Storm,2010-01-18,,California,,,1
334,Severe Storm,2010-01-19,,California,,San Francisco,
335,Severe Storm,2010-01-19,,California,San Diego,Orange County,
336,Severe Storm,2010-01-20,,California,Los Angeles,,
337,Ice Storm,2010-01-28,,Oklahoma,,,
338,Winter Storm,2010-02-05,,Southern NJDIRTY,,,1
339,Winter Storm,2010-02-05,,South Carolina,,,1
340,Winter Storm,2010-02-05,,Maryland,,"Prince Georges, Montgomery County ",
341,Winter Storm,2010-02-05,,Pennsylvania,,,1
342,Winter Storm,2010-02-05,,"Indiana, West Virginia, Ohio, Virginia",,,
343,Winter Storm,2010-02-06,,"North Carolina, Virginia",,,
344,Winter Storm,2010-02-06,,Delmarva PeninsulaDIRTY,,,1
345,Winter Storm,2010-02-09,,Pennsylvania,,,1
346,Winter Storm,2010-02-11,,Texas,"Dallas, Fort Worth ",,
347,Winter Storm,2010-02-12,,"Texas, Arkansas",,,1
348,Winter Storm,2010-02-14,,Pennsylvania,,,1
349,Winter Storm,2010-02-23,,New York,,,1
350,Winter Storm,2010-02-25,,"New York, New Jersey",,,1
351,Winter Storm,2010-02-25,,New York,New York City,,
352,Winter Storm,2010-02-25,,"New Hampshire, Maine",,,1
353,Severe Thunderstorms,2010-04-16,,Pennsylvania,,,1
354,Thunderstorms,2010-05-02,,"Tennessee, Mississippi",,,
355,Severe Weather,2010-06-02,,Texas,San Antonio,,
356,Thunderstorms,2010-06-08,,Texas,,,1
357,Thunderstorms,2010-06-18,,Indiana,,,1
358,Severe Weather,2010-06-18,,Illinois,Chicago,,
359,Thunderstorms,2010-06-18,,Michigan,,,1
360,Severe Weather,2010-06-18,,"Michigan, Indiana",,,
361,Severe Weather,2010-06-18,,Michigan,Detroit,,
362,Thunderstorms,2010-06-21,,Ohio,Cincinnati,,
363,Severe Weather,2010-06-23,,Illinois,Chicago,,
364,Thunderstorms,2010-06-23,,Indiana,,,1
365,Thunderstorms,2010-06-24,,New Jersey,,,1
366,Thunderstorms,2010-06-24,,Pennsylvania,,,1
367,Severe Weather,2010-07-15,,Michigan,,,1
368,Thunderstorms,2010-07-21,,Connecticut,,,
369,Severe Weather,2010-07-23,,Michigan,,,1
370,Severe Weather,2010-07-25,,Washington,,,1
371,Severe Weather,2010-07-25,,Maryland,,,1
372,Severe Weather,2010-07-25,,Virginia,,,1
373,Thunderstorms,2010-07-29,,Virginia,,,
374,Thunderstorms,2010-08-04,,"West Virginia, Pennsylvania, Virginia",,,1
375,Severe Weather,2010-08-04,,"Kentucky, West Virginia, Ohio, Virginia",,,
376,Thunderstorms,2010-08-05,,Maryland,,,1
377,Thunderstorms,2010-08-05,,Virginia,,,1
378,Severe Weather,2010-08-11,,Ohio,,,
379,Severe Weather,2010-08-12,,Maryland,,,1
380,Severe Weather,2010-08-19,,Michigan,,,1
381,Severe Weather,2010-08-23,,Texas,Houston,,
382,Thunderstorms,2010-09-21,,Michigan,,,1
383,Thunderstorms,2010-09-22,,Pennsylvania,Pittsburgh,,
384,Thunderstorms,2010-09-22,,Pennsylvania,,,1
385,Thunderstorms,2010-10-26,,Illinois,,,1
386,High Winds,2010-10-26,,Minnesota,,,
387,High Winds,2010-10-27,,Wisconsin,,,1
388,High Winds,2010-10-27,,Michigan,,,1
389,High Winds,2010-10-27,,Illinois,,,1
390,Winter Storm,2010-11-13,,Minnesota,,,
391,High Winds,2010-11-15,,Puget Sound RegionDIRTY,,,1
392,Winter Storm,2010-11-21,,California,,,1
393,Winter Storm,2010-11-22,,Washington,,Puget Sound,
394,Severe Weather,2010-12-12,,Michigan,,,1
395,Severe Weather,2010-12-18,,Washington,Redmond,,
396,Severe Weather,2010-12-26,,CarolinaDIRTY,,,1
397,Winter Storm,2011-01-12,6:00:00,Massachusetts,,,
398,Winter Storm,2011-01-26,17:00:00,Maryland,,"Montgomery, Prince George's",
399,Winter Storm,2011-01-26,18:28:00,Maryland,,,
400,Winter Storm,2011-01-26,19:43:00,Virginia,,,1
401,Ice Storm,2011-01-31,22:00:00,"Indiana, Ohio",,,1
402,Winter Storm,2011-02-01,15:00:00,"Indiana, Ohio",,,
403,Winter Storm,2011-02-01,21:00:00,Illinois,,,1
404,Winter Storm,2011-02-02,3:00:00,Pennsylvania,Philadelphia,,
405,Winter Storm,2011-02-09,3:45:00,Texas,Houston,,
406,Major Storm,2011-02-17,1:25:00,California,,,1
407,Major Storm,2011-02-19,12:30:00,Pennsylvania,Philadelphia,,
408,Winter Storm,2011-02-20,16:00:00,Michigan,,,1
