,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
862,2786,Severe Weather,5/10/2019,2:00:00,Texas,,,
864,2789,Severe Weather,5/18/2019,15:45:00,Texas,,"Ector County, Midland County, Tarrant County, Dallas County, Stephens County, Anderson County, McLennan County, Ellis County, Hunt County, Young County, Bell County, Limestone County, Collin County, Rockwall County, Henderson County, Parker County, Falls County, Freestone County, Kaufman County, Grayson County, Smith County;",
866,2791,Severe Weather,5/23/2019,16:55:00,Virginia,,,
867,2795,Severe Weather,5/24/2019,21:47:00,California,,,
871,2802,Severe Weather,6/6/2019,18:09:00,Texas,,Bexar County;,
872,2805,Severe Weather,6/9/2019,14:45:00,Texas,,"Collin County, Dallas County, Denton County, Palo Pinto County, Tarrant County, Ellis County, Williamson County;",
875,2809,Severe Weather,6/16/2019,2:00:00,Texas,,"Dallas County, Tarrant County, Collin County, Denton County;",
877,2813,Severe Weather,6/19/2019,22:30:00,Arkansas,,,
879,2815,Severe Weather,6/20/2019,16:11:00,Virginia,,,
880,2817,Severe Weather,6/21/2019,19:15:00,Kentucky: Tennessee:,,,
882,2819,Severe Weather,6/22/2019,20:46:00,Alabama: Georgia:,,,
883,2820,Severe Weather,6/23/2019,22:00:00,Texas,,"Dallas County, Denton County, Ellis County, Collin County, Ellis County, Hood County, Johnson County, Kaufman County;",
884,2823,Severe Weather,6/24/2019,5:30:00,Arkansas,,,
885,2826,Severe Weather,6/30/2019,15:15:00,New York,,"Nassau County, Suffolk County;",
886,2827,Severe Weather,6/30/2019,15:30:00,Illinois,,"Cook County, DeKalb County, DuPage County, Grundy County, Iroquois County, Ford County, Lake County, Kendall County, Kankakee County, Kane County, Ogle County;",
890,2831,Severe Weather,7/10/2019,12:10:00,Texas,,"Collin County, Dallas County, Denton County, Hood County, Johnson County, Tarrant County;",
892,2834,Severe Weather,7/13/2019,23:55:00,Louisiana,,"Acadia Parish, Avoyelles Parish, Catahoula Parish, Evangeline Parish, Grant Parish, Iberia Parish, LaSalle Parish, Natchitoches Parish, Rapides Parish, Sabine Parish, St. Landry Parish, St. Martin Parish, St. Mary Parish, St. Tammany Parish, Allen Parish, Beauregard Parish, Calcasieu Parish, Vermilion Parish, De Soto Parish, Jefferson Davis Parish, Red River Parish, Tangipahoa Parish, Vernon Parish, Washington Parish;",
893,2835,Severe Weather,7/13/2019,7:15:00,Louisiana,,,
894,2838,Severe Weather,7/19/2019,19:00:00,Michigan,,,
895,2841,Severe Weather,7/20/2019,11:55:00,Wisconsin: Michigan:,,,
896,2842,Severe Weather,7/20/2019,3:00:00,Michigan,,"Kent County, Newaygo County, Mecosta County, Montcalm County, Isabella County, Ionia County, Allegan County, Barry County;",
897,2843,Severe Weather,7/21/2019,23:00:00,New York,,"Kings County, New York County, Queens County, Bronx County, Westchester County, Richmond County;",
898,2844,Severe Weather,7/22/2019,16:00:00,Pennsylvania,,"Bucks County, Delaware County;",
899,2845,Severe Weather,7/22/2019,17:50:00,New Jersey,,Gloucester County;,
901,2849,Severe Weather,7/23/2019,15:39:00,Massachusetts,,,
907,2866,Severe Weather,8/13/2019,15:10:00,Texas,,Williamson County;,
909,2870,Severe Weather,8/15/2019,15:11:00,Texas,,,
912,2881,Severe Weather,8/26/2019,19:00:00,Oklahoma,,,
914,2885,Severe Weather,9/4/2019,14:30:00,Texas,,,
915,2887,Severe Weather,9/5/2019,22:00:00,North Carolina,,,
916,2888,Severe Weather,9/5/2019,22:36:00,North Carolina: South Carolina:,,,
917,2889,Severe Weather,9/5/2019,4:15:00,South Carolina,,,
918,2891,Severe Weather,9/6/2019,8:20:00,North Carolina,,,
919,2893,Severe Weather,9/11/2019,22:35:00,Michigan,,"Ionia County, Kent County, Barry County, Montcalm County, Allegan County, Ottawa County, Newaygo County;",
922,2900,Severe Weather,9/25/2019,3:47:00,California,,"Napa County, Nevada County, Placer County, Plumas County, Sonoma County, Butte County, Yuba County;",
